ticker,company,revin_mae,baseline_mae,delta_mae_revin_minus_baseline,revin_rmse,baseline_rmse,delta_rmse_revin_minus_baseline,revin_mse,baseline_mse,delta_mse_revin_minus_baseline
SUNPHARMA.NS,Sun Pharmaceutical Industries,70.09894,127.55223,-57.453293,83.756874,160.5022,-76.74532,7015.2134,25760.955,-18745.742
BAJAJFINSV.NS,Bajaj Finance Ltd.,52.323074,99.50248,-47.179405,64.517,126.75337,-62.236374,4162.443,16066.417,-11903.975
INFY.NS,Infosys Ltd.,78.04838,103.56244,-25.514061,95.97253,137.35832,-41.385796,9210.727,18867.309,-9656.582
ASIANPAINT.NS,Asian Paints Ltd.,218.46707,238.25285,-19.785782,272.8012,303.17664,-30.375427,74420.5,91916.07,-17495.57
POWERGRID.NS,Power Grid Corporation,18.98906,38.260735,-19.271675,22.502558,44.58273,-22.080172,506.36514,1987.6198,-1481.2546
TCS.NS,Tata Consultancy Services (TCS),149.27237,164.59506,-15.322693,186.78522,207.2932,-20.50798,34888.715,42970.47,-8081.754
ITC.NS,ITC Ltd.,16.785063,22.076128,-5.291065,30.30988,32.805737,-2.4958572,918.6888,1076.2163,-157.52753
KOTAKBANK.NS,Kotak Mahindra Bank,17.698524,19.586338,-1.8878136,22.350636,24.415594,-2.0649586,499.55093,596.1213,-96.57034
BHARTIARTL.NS,Bharti Airtel Ltd.,94.17767,93.60235,0.575325,118.535866,122.102486,-3.5666199,14050.752,14909.017,-858.26465
WIPRO.NS,Wipro Ltd.,17.463339,11.943815,5.5195236,21.868961,16.38955,5.479412,478.2515,268.61734,209.63416
HCLTECH.NS,HCL Technologies Ltd.,104.878,96.53141,8.346588,128.65239,126.10209,2.5503006,16551.438,15901.736,649.7012
HDFCBANK.NS,HDFC Bank Ltd.,52.975876,44.544544,8.431332,65.50858,56.735596,8.772987,4291.374,3218.9277,1072.4463
RELIANCE.NS,Reliance Industries Ltd.,82.83671,69.55573,13.280975,107.190765,88.1702,19.020569,11489.859,7773.983,3715.8765
AXISBANK.NS,Axis Bank Ltd.,70.51721,56.95468,13.5625305,86.555,71.060425,15.4945755,7491.768,5049.584,2442.184
ICICIBANK.NS,ICICI Bank Ltd.,116.98635,95.332306,21.654045,138.74924,114.303795,24.445442,19251.352,13065.357,6185.994
SBIN.NS,State Bank of India (SBI),88.30336,39.036476,49.266884,113.123604,55.550724,57.57288,12796.949,3085.8828,9711.066
HINDUNILVR.NS,Hindustan Unilever Ltd. (HUL),180.022,127.134766,52.887238,219.33672,159.22136,60.115356,48108.594,25351.443,22757.15
LT.NS,Larsen & Toubro (L&T),262.83453,135.8254,127.00914,324.38342,181.79073,142.5927,105224.61,33047.867,72176.74
