config_name,target_mode,normalization,fold,sample_count,mae,mse,rmse
baseline_price,price,simple_global,0,3,60.84501647949219,9038.0263671875,95.0685351059303
baseline_price,price,simple_global,1,3,96.26946258544922,21282.12109375,145.88393021080148
baseline_price,price,simple_global,2,3,106.17921447753906,26790.30859375,163.6774529180791
baseline_price,price,simple_global,3,3,110.67522430419922,31475.080078125,177.4121756760933
baseline_price,price,simple_global,4,2,124.27542877197266,42356.62109375,205.8072425687444
revin_price_tuned,price,revin,0,3,75.11614990234375,11498.7197265625,107.23208347580727
revin_price_tuned,price,revin,1,3,96.6417007446289,19707.83984375,140.3846139851159
revin_price_tuned,price,revin,2,3,102.43598175048828,26712.8203125,163.44057119485356
revin_price_tuned,price,revin,3,3,95.26497650146484,22163.755859375,148.87496720192755
revin_price_tuned,price,revin,4,2,104.07526397705078,24292.0,155.8589105569521
baseline_logreturn,log_return,simple_global,0,3,76.71314239501953,13581.0166015625,116.53761882569293
baseline_logreturn,log_return,simple_global,1,3,89.71595001220703,16626.59375,128.94414973157953
baseline_logreturn,log_return,simple_global,2,3,90.03997802734375,19008.484375,137.8712601487344
baseline_logreturn,log_return,simple_global,3,3,88.66930389404297,17870.203125,133.6794790721448
baseline_logreturn,log_return,simple_global,4,2,98.23397064208984,24170.294921875,155.46798680717197
revin_logreturn_tuned,log_return,revin,0,3,106.16890716552734,23917.966796875,154.65434619458645
revin_logreturn_tuned,log_return,revin,1,3,100.4425048828125,21118.48828125,145.3220158174597
revin_logreturn_tuned,log_return,revin,2,3,119.37001037597656,33233.8359375,182.30149735397129
revin_logreturn_tuned,log_return,revin,3,3,126.0828857421875,37559.671875,193.80317818601426
revin_logreturn_tuned,log_return,revin,4,2,130.10719299316406,38452.796875,196.09384711152973
